id,text,label,clean_text,reference_time
UgykYAzt8LMlFYwfriB4AaABAg,সরবোকালের সেরা গানের ডালি,1,সরবোকালের সেরা গানের ডালি,2025-11-03T17:43:14Z
UgxDsTIZ_i3dPlYo1BR4AaABAg,গাছটা যদি বট হই তবে সবাই শেল্টার পায়। আমি জানি না আমরা কোন গাছ।,1,গাছটা যদি বট হই তবে সবাই শেল্টার পায়। আমি জানি না আমরা কোন গাছ।,2025-10-30T23:27:10Z
Ugy5yc0FE7Mij4ulkxh4AaABAg,একদম অসাধারণ গান,1,একদম অসাধারণ গান,2025-11-18T17:35:49Z
UgwoEo2JDInIQrMFJTB4AaABAg,"আমার খুব গানগুলো ভালো লাগতেছে  ,বাংলাদেশ",0,"আমার খুব গানগুলো ভালো লাগতেছে ,বাংলাদেশ",2025-11-13T16:34:02Z
UgyYITyX8_RCrvK4ZS54AaABAg,থ্যাঙ্ক ইউ মুখটা তো থ্যাঙ্ক ইউ মুখটা তো থ্যাংক ইউ শুভ ইন্দ্রিয়,1,থ্যাঙ্ক ইউ মুখটা তো থ্যাঙ্ক ইউ মুখটা তো থ্যাংক ইউ শুভ ইন্দ্রিয়,2025-10-20T08:57:07Z
Ugw5DxODREyQFNhaUzh4AaABAg,Pls stop the war...❤ পৃথিবী মানুষ চায়। ❤,1,Pls stop the war... পৃথিবী মানুষ চায়।,2025-10-30T23:25:00Z
Ugxeevoo_UZRfyWNZK94AaABAg,2025 য়ে কমেন্ট টা রেখে গেলাম নোটিফিকেশন আসলে আরো শুনবো ❤❤❤❤,1,2025 য়ে কমেন্ট টা রেখে গেলাম নোটিফিকেশন আসলে আরো শুনবো,2025-10-30T19:16:31Z
UgyxsYnFUAUDvyMEql94AaABAg,চিরকালই সুন্দর গান।,1,চিরকালই সুন্দর গান।,2025-12-07T07:31:00Z
Ugz_wlbZEq8xj6sqU5F4AaABAg,ভুল তো আমারি ছিল,1,ভুল তো আমারি ছিল,2025-10-20T06:41:23Z
UgzBuzVxhMaTWUPITqJ4AaABAg,একটা একটা রিমিক্স খুব সুন্দর একটা বাড়ি দেখতে পাচ্ছি,1,একটা একটা রিমিক্স খুব সুন্দর একটা বাড়ি দেখতে পাচ্ছি,2025-10-20T09:13:32Z
UgzgYmSlTzO6Q95MEAF4AaABAg,অ্যালার্ম বন্ধ ধন্যবাদ বন্ধু ফুল তো আমারই ছিল তোমার গান খুব সুন্দর লাগছে দিদিভাই অপূর্ব দিদিভাই হরি,1,অ্যালার্ম বন্ধ ধন্যবাদ বন্ধু ফুল তো আমারই ছিল তোমার গান খুব সুন্দর লাগছে দিদিভাই অপূর্ব দিদিভাই হরি,2025-10-20T08:08:21Z
Ugyj26RWYujidSw2hKh4AaABAg,আমার বাজনা খুব সুন্দর লাগছে,1,আমার বাজনা খুব সুন্দর লাগছে,2025-10-20T08:10:34Z
UgxygcFRHp-OfCRGwHR4AaABAg,আমার প্রিও গান❤,1,আমার প্রিও গান,2025-11-27T17:36:14Z
UgzOFx3MKzL12gBiv_F4AaABAg,জয় ঈশ্বর আল্লাহ,0,জয় ঈশ্বর আল্লাহ,2025-10-20T09:00:27Z
Ugxn98fl3C14N4_goeV4AaABAg,আমিও তো সেটাই চাই এক গাছে সুখে থাকতে,1,আমিও তো সেটাই চাই এক গাছে সুখে থাকতে,2025-10-20T08:50:51Z
UgxmvKIab-4VMy6zBfV4AaABAg,আজ থেকে তুমি আমার হলে আজ থেকে আমি তোমার হলাম বন্ধু ধন্যবাদ বন্ধু,0,আজ থেকে তুমি আমার হলে আজ থেকে আমি তোমার হলাম বন্ধু ধন্যবাদ বন্ধু,2025-10-20T07:58:26Z
UgwJRWOitxP_MdwWDqB4AaABAg,খুব সুন্দর একটি বাড়ি দেখতে পাচ্ছি,1,খুব সুন্দর একটি বাড়ি দেখতে পাচ্ছি,2025-10-20T09:02:39Z
UgwLFKWcrpRbzL4Us5Z4AaABAg,এই লোক একটা ফালতু,0,এই লোক একটা ফালতু,2025-11-16T07:07:47Z
UgwfuBT0WKO1eP1ue0l4AaABAg,এই গান টা  আমার  খুব পিও  গান ভ,1,এই গান টা আমার খুব পিও গান ভ,2025-11-10T16:36:02Z
UgzWEfh3CEX_wYwuim54AaABAg,আমার মৃত্যু হবে।বয়স ২৯ আর বেশি হলে পৃথিবীতে ৩০ বছর বাচবো।কিন্তু এই গান থাকবে শত শত প্রজন্ম। আজ থেকে ৩০ বছর যখন কারো চোখে এই কমেন্ট পড়বে একটা লাইক দিয়ে যেও।❤️😍,1,আমার মৃত্যু হবে।বয়স ২৯ আর বেশি হলে পৃথিবীতে ৩০ বছর বাচবো।কিন্তু এই গান থাকবে শত শত প্রজন্ম। আজ থেকে ৩০ বছর যখন কারো চোখে এই কমেন্ট পড়বে একটা লাইক দিয়ে যেও।️,2025-01-07T15:21:25Z
UgxLbVvprggbD8cW3kN4AaABAg,2025 এ যে যে দেখছেন লাইক করে যাবেন কমেন্টে তাহলে আপনার লাইক দেখে গানটি আরেকবার শোনা যাবে।,1,2025 এ যে যে দেখছেন লাইক করে যাবেন কমেন্টে তাহলে আপনার লাইক দেখে গানটি আরেকবার শোনা যাবে।,2025-11-07T03:18:34Z
UgxaUY80ohnTG-ImbwR4AaABAg,"সবাই  সবাই  কিছু  বলতে পরে না,, 
তবুও,, বেঁচে  থাকে প্রাণহীন  দেহটা  নিয়ে,,কিছু সৃষ্টি অকড়ে, লোক দেখানো,নাটক  করে,, তারপর  বলব,,,সবাই  ভালো থাক,,,
ধন্যবাদ  আপনার পেইজ কে,, অসাধারণ  গান উপহার  দেয়ার নিয়ে",1,"সবাই সবাই কিছু বলতে পরে না,, তবুও,, বেঁচে থাকে প্রাণহীন দেহটা নিয়ে,,কিছু সৃষ্টি অকড়ে, লোক দেখানো,নাটক করে,, তারপর বলব,,,সবাই ভালো থাক,,, ধন্যবাদ আপনার পেইজ কে,, অসাধারণ গান উপহার দেয়ার নিয়ে",2023-10-29T13:12:16Z
Ugz32MIBAwpuhVTPfrJ4AaABAg,আমি ভারতবর্ষ থেকে বলছি রাজ্য পশ্চিমবঙ্গ এই গানটি অসাধারণ মনমুগ্ধকর আমার খুব মনের মত গান,1,আমি ভারতবর্ষ থেকে বলছি রাজ্য পশ্চিমবঙ্গ এই গানটি অসাধারণ মনমুগ্ধকর আমার খুব মনের মত গান,2024-10-18T08:38:29Z
Ugx-rfm_enCbPonXZl14AaABAg,এতো রিমিক্স এতো আধুনিক গানের মধ্যে যে সকল মানুষ এই গান গুলো শোনে। তাদের কাছে হিমালয় পাহাড়টাও যেন সরিষার দানার সমতুল্য ।,0,এতো রিমিক্স এতো আধুনিক গানের মধ্যে যে সকল মানুষ এই গান গুলো শোনে। তাদের কাছে হিমালয় পাহাড়টাও যেন সরিষার দানার সমতুল্য ।,2024-10-23T18:47:40Z
UgygShRbVzEYvYCc0yd4AaABAg,জীবন যুদ্ধের সাথে আমি এক পরাজিত সৈনিক শত চেষ্টা করেও আমি আমার প্রিয়জনকে ধরে রাখতে পারিনি  বিয়ের আঠারো বছর পেরিয়ে গেল এই কূলে আমি ওই কূলে তুমি   যেখানেই থাকো ভালো থাকো,1,জীবন যুদ্ধের সাথে আমি এক পরাজিত সৈনিক শত চেষ্টা করেও আমি আমার প্রিয়জনকে ধরে রাখতে পারিনি বিয়ের আঠারো বছর পেরিয়ে গেল এই কূলে আমি ওই কূলে তুমি যেখানেই থাকো ভালো থাকো,2023-02-15T04:34:26Z
Ugw7pPEYhFSZpWJEMWt4AaABAg,২০২৪ সালে এসেও যারা যারা গানটি শুনছেন তাদের জন্য কমেন্টস টা রেখে গেলাম,1,২০২৪ সালে এসেও যারা যারা গানটি শুনছেন তাদের জন্য কমেন্টস টা রেখে গেলাম,2024-02-26T07:35:40Z
UgzwfDRNXr4RLcJEKkx4AaABAg,আহারে কি গান মানুষের রক্তের মাঝে জড়িয়ে থাকবে সারাটি জীবন❤,1,আহারে কি গান মানুষের রক্তের মাঝে জড়িয়ে থাকবে সারাটি জীবন,2024-10-14T14:45:20Z
Ugx1trDvwW5SGR7lWKZ4AaABAg,আমি ৮০ দশক থেকে  শুনে আসছি হেমন্ত মান্না কিশোর কুমার  ভুপেন হাযারিকার গান।,1,আমি ৮০ দশক থেকে শুনে আসছি হেমন্ত মান্না কিশোর কুমার ভুপেন হাযারিকার গান।,2025-06-24T04:44:22Z
Ugx71Nas6DyLhKPEt3R4AaABAg,"আজ থেকে প্রায় ৩০ বছর আগে এই গানগুলো শুনতাম গাইতাম হৃদয় ছুয়ে যেত,এখনও সে রকমই অনুভূতি।",1,"আজ থেকে প্রায় ৩০ বছর আগে এই গানগুলো শুনতাম গাইতাম হৃদয় ছুয়ে যেত,এখনও সে রকমই অনুভূতি।",2022-08-16T09:57:58Z
Ugxk5b_yTP1x1wSnh9h4AaABAg,"এ জেনো শিল্পীর গাওয়া সুদু গান নয়,এ জেনো শিল্পী নিজের রিদয় টাকে বুকের ভেতর থেকে বের করে আমাদের জন্য রেখে গেছেন,,",1,"এ জেনো শিল্পীর গাওয়া সুদু গান নয়,এ জেনো শিল্পী নিজের রিদয় টাকে বুকের ভেতর থেকে বের করে আমাদের জন্য রেখে গেছেন,,",2025-12-09T10:30:27Z
Ugx4CIICcVMG7KLg_GR4AaABAg,গানটি প্রথম শুনেছি ৯০দশকে। স্কুল জীবন থেকে কর্মময় সময় পর্যন্ত যখনই সময় পাই তখনই গানটি শুনে থাকি।,1,গানটি প্রথম শুনেছি ৯০দশকে। স্কুল জীবন থেকে কর্মময় সময় পর্যন্ত যখনই সময় পাই তখনই গানটি শুনে থাকি।,2025-01-14T17:21:50Z
UgyKQk4fNaWFgr8DxQd4AaABAg,আমার জীবনে সবচেয়ে প্রিয় গান এইটা,1,আমার জীবনে সবচেয়ে প্রিয় গান এইটা,2025-04-14T14:14:57Z
UgxJb7izJL6OCifqIxh4AaABAg,১৯৭০ দশকের মাঝামাঝি সময়ে প্রথম শুনি । আকাশবাণী কলকাতা ও ঢাকা বেতার কেন্দ্র থেকে প্রায়ই গানটা বাজতো । অন‍্যতম প্রিয় গান ।  আজ ও খুব ভালো লাগে !  (কলকাতা থেকে),1,১৯৭০ দশকের মাঝামাঝি সময়ে প্রথম শুনি । আকাশবাণী কলকাতা ও ঢাকা বেতার কেন্দ্র থেকে প্রায়ই গানটা বাজতো । অন্যতম প্রিয় গান । আজ ও খুব ভালো লাগে ! (কলকাতা থেকে),2023-03-30T19:23:09Z
UgyelV-8JGkZVuEHdSh4AaABAg,আজ থেকে ছোটবেলা থেকে গানগুলো শুনে কিছু দুঃখ কিছু কষ্ট সান্তনা দেয় 🙏🥀🙏🥀,1,আজ থেকে ছোটবেলা থেকে গানগুলো শুনে কিছু দুঃখ কিছু কষ্ট সান্তনা দেয়,2023-10-23T16:12:08Z
Ugx4v1MjKON1gorPZNl4AaABAg,♥️🌹জানিরে এজীবনে তকে পাবার নয় আকাশের ঠীকানা খুজে পাওয়ার কথা নয়♥️🌹,1,️জানিরে এজীবনে তকে পাবার নয় আকাশের ঠীকানা খুজে পাওয়ার কথা নয়️,2025-12-14T14:31:38Z
Ugxykd38Z2-yIVItrON4AaABAg,"শতকোটি হাজারো মানুষের মধ্যমনি হয়ে থাকবে এ সব সুর, স্যার কে আমার হ্রদয়ের শতকোটি নিংড়ানো সালাম মনোমুগ্ধকর সুর ও বাণী।",1,"শতকোটি হাজারো মানুষের মধ্যমনি হয়ে থাকবে এ সব সুর, স্যার কে আমার হ্রদয়ের শতকোটি নিংড়ানো সালাম মনোমুগ্ধকর সুর ও বাণী।",2023-09-04T10:41:54Z
Ugwt7b452yN5ImoYIWN4AaABAg,"আমি কোনদিন ভাবিনি শাহিন আমাকে ছেড়ে যাবে, একদিন তুমি আফসোস করবে কি হারিয়েছো।😂😂",1,"আমি কোনদিন ভাবিনি শাহিন আমাকে ছেড়ে যাবে, একদিন তুমি আফসোস করবে কি হারিয়েছো।",2025-10-05T08:41:29Z
Ugz24X3dx0zedAVTD9V4AaABAg,"তোমার পাঠানো গান❤️
আজ তুমি নাই গানটাই  রয়ে গেছে💔
একদিন আমি ও থাকব না,কষ্টগুলিই
শুধু রয়ে যাবে দূর আকাশে নক্ষত্রের মাঝে⁉️",1,"তোমার পাঠানো গান️ আজ তুমি নাই গানটাই রয়ে গেছে একদিন আমি ও থাকব না,কষ্টগুলিই শুধু রয়ে যাবে দূর আকাশে নক্ষত্রের মাঝে⁉️",2022-06-23T04:56:25Z
Ugy9equHlOkD_QNLwtV4AaABAg,"– ইসলাম অহংকার করতে শেখায় না!🌸
– ইসলাম শুকরিয়া আদায় করতে শেখায়!🤲🕋",0,– ইসলাম অহংকার করতে শেখায় না! – ইসলাম শুকরিয়া আদায় করতে শেখায়!,2023-09-26T19:41:46Z
UgyMRNo6pDYTsClbBON4AaABAg,আমি যাকে কিশোর বয়স থেকে ভালবাসি তার কথা স্বরণ হলে এখনো সেই গানটি শুনি।,1,আমি যাকে কিশোর বয়স থেকে ভালবাসি তার কথা স্বরণ হলে এখনো সেই গানটি শুনি।,2025-11-30T18:19:17Z
UgzNEkGlG8i9JoEuV954AaABAg,"জানি তুমি অন্যজায়গা  বিবাহবন্ধনে  আবদ্ধ হয়েছো।  কিন্তু তুমি না আসার কারণে গানটা শুনার ভাগ্য হলো,,,  প্রিয় স্যার স্যালুট",1,"জানি তুমি অন্যজায়গা বিবাহবন্ধনে আবদ্ধ হয়েছো। কিন্তু তুমি না আসার কারণে গানটা শুনার ভাগ্য হলো,,, প্রিয় স্যার স্যালুট",2025-01-03T02:17:00Z
UgwRZXdgItrU5B2bOa94AaABAg,"এতো সুন্দর কথা আর সুমধুর কন্ঠ ,, আজ পশ্চিমা সংস্কৃতির ছোবলে দিন দিন হারিয়ে গেছে।৯/১২/২০২৫",1,"এতো সুন্দর কথা আর সুমধুর কন্ঠ ,, আজ পশ্চিমা সংস্কৃতির ছোবলে দিন দিন হারিয়ে গেছে।৯/১২/২০২৫",2025-12-09T07:29:19Z
UgwEgHieExn3mt8cxwx4AaABAg,"""জীবন যুদ্ধে তোমাকে আমি পেয়েছি এটাই আমার বড় পাওয়া আমাদের জীবনে যাই কিছু হইছে  (চড়াই উৎরাই )তোমাকে না পাওয়া হলে আমার জীবনে অনেক বড় না পাওয়া থাকতো। মানুষ তো ১০/১৫ সংসার ও করতে পারে না আমি ১০ বছর প্লাস ছিলাম আছি থাকবো।
তোমাকে পিয়েছি এই জন্য ওই কষ্ট গুলা দুঃখ গুলা তুচ্ছ মনে হয়।
""আমি তুমি হেরে যাইনি ""
না পাওয়ার যে কি বেদনা সেটা হয়তো লিখে শেষ করার নয় ।
আল্লাহ যা করে ভালো জন্যই করে 
আলহামদুলিল্লাহ ।।।",1,"""জীবন যুদ্ধে তোমাকে আমি পেয়েছি এটাই আমার বড় পাওয়া আমাদের জীবনে যাই কিছু হইছে (চড়াই উৎরাই )তোমাকে না পাওয়া হলে আমার জীবনে অনেক বড় না পাওয়া থাকতো। মানুষ তো ১০/১৫ সংসার ও করতে পারে না আমি ১০ বছর প্লাস ছিলাম আছি থাকবো। তোমাকে পিয়েছি এই জন্য ওই কষ্ট গুলা দুঃখ গুলা তুচ্ছ মনে হয়। ""আমি তুমি হেরে যাইনি "" না পাওয়ার যে কি বেদনা সেটা হয়তো লিখে শেষ করার নয় । আল্লাহ যা করে ভালো জন্যই করে আলহামদুলিল্লাহ ।।।",2025-08-01T16:06:00Z
Ugx1GOsDV24vkOV5PCx4AaABAg,সব পাখি উড়ে জায়নাঅনেকপাখিতেকেজায়🎉🎉🎉🎉😢😂😮😅😊😅😮😢🎉😂❤,1,সব পাখি উড়ে জায়নাঅনেকপাখিতেকেজায়,2025-06-19T15:36:12Z
Ugx_ryUyRBvmf4K6h-x4AaABAg,একটি গানই একজন শিল্পীকে চিরকাল বাঁচিয়ে রাখতে পারে। এটিও তেমন একটি গান।,1,একটি গানই একজন শিল্পীকে চিরকাল বাঁচিয়ে রাখতে পারে। এটিও তেমন একটি গান।,2022-08-02T02:07:22Z
UgzHBkT3PGxpOT1fPJJ4AaABAg,২৭  ১১  ২০২৪   এসে ও যারা এই গান টা শুনেছেন তাদের অনুভুতি টা কেমন,1,২৭ ১১ ২০২৪ এসে ও যারা এই গান টা শুনেছেন তাদের অনুভুতি টা কেমন,2024-11-27T15:25:19Z
UgxUqU_XpRFHEDkhHB14AaABAg,"২০২৩ সালে  শুনছি গানটা, 
হৃদয়ে ছুয়ে যাচ্ছে।।",1,"২০২৩ সালে শুনছি গানটা, হৃদয়ে ছুয়ে যাচ্ছে।।",2023-07-14T15:04:52Z
Ugwp36q_AppdAMRUdgZ4AaABAg,বুক ‌ভরা ভালো বাসা দিয়ে অন্তর উজাড়‌ করে দিয়েছিলাম সব‌ কিছু তাকে । সব কিছু পেয়েও সে‌ আমাকে ঠকিয়ে চলে গেছে অন্যের হাত ধরে ‌। ‌ আজো‌ আমি ‌তাকে ভুলে যেতে পারিনি ।‌সে আমাকে অনেক আগেই ভুলে গেছে ।‌‌যার‌সঙ্গে আছো ভালো ‌থেকো । ‌আমি তো‌ তোমাকে সুখী করতে পারলাম না।,1,বুক ভরা ভালো বাসা দিয়ে অন্তর উজাড় করে দিয়েছিলাম সব কিছু তাকে । সব কিছু পেয়েও সে আমাকে ঠকিয়ে চলে গেছে অন্যের হাত ধরে । আজো আমি তাকে ভুলে যেতে পারিনি ।সে আমাকে অনেক আগেই ভুলে গেছে ।যারসঙ্গে আছো ভালো থেকো । আমি তো তোমাকে সুখী করতে পারলাম না।,2025-03-09T14:40:26Z
UgxOScAee-a9Q4pZoMd4AaABAg,শ্রদ্ধা জ্ঞাপন করি সুরের পাখির বিদেহী আত্মাকে যেখানে ই থাকেন ভালো থাকেন ❤❤❤,1,শ্রদ্ধা জ্ঞাপন করি সুরের পাখির বিদেহী আত্মাকে যেখানে ই থাকেন ভালো থাকেন,2025-02-13T09:43:41Z
Ugwkis1JE-tkdU7lsgN4AaABAg,"যে  স্বাধীনতা চায় দেওয়া যায়,
কিন্তু,, যে স্বাধীনতার যোগ্যতা
অর্জন করতে পারে, থাকে দেওয়া যায়,",1,"যে স্বাধীনতা চায় দেওয়া যায়, কিন্তু,, যে স্বাধীনতার যোগ্যতা অর্জন করতে পারে, থাকে দেওয়া যায়,",2025-02-18T06:55:26Z
UgxXTSdTgimLcNDxllh4AaABAg,এইগানগুলি যতই শুনি আরো মনচায় শুনতে সিনেমা দেখার পরে ২/৩ দিন সমালচনা হোতো আর এখন হলগুলি বন্ধ হচ্চে ইনশাআল্লাহ এই মিথ্যা প্রতিষ্ঠান বন্ধ হবে,1,এইগানগুলি যতই শুনি আরো মনচায় শুনতে সিনেমা দেখার পরে ২/৩ দিন সমালচনা হোতো আর এখন হলগুলি বন্ধ হচ্চে ইনশাআল্লাহ এই মিথ্যা প্রতিষ্ঠান বন্ধ হবে,2022-07-26T01:38:24Z
Ugx7s7RdZVFwP99E_f94AaABAg,শেৃস্ট গান। সোনালী যুগের গান,1,শেৃস্ট গান। সোনালী যুগের গান,2025-05-06T12:18:09Z
UgwWKh3J2JtSRpc62qB4AaABAg,কলিজা জুড়িয়ে  গেল।এ সব গান চিরকাল  মানুষের  বেঁচে থকবে।,1,কলিজা জুড়িয়ে গেল।এ সব গান চিরকাল মানুষের বেঁচে থকবে।,2022-06-29T13:46:05Z
UgwxHXHsC-bFgF9kyDd4AaABAg,আমি বুঝলাম  ‌এই গান শুনতে কেমন যেন লাগছে,1,আমি বুঝলাম এই গান শুনতে কেমন যেন লাগছে,2025-05-01T08:17:49Z
UgwFaBr4VqbnePxrlGB4AaABAg,অসাধারণ গান মোহাম্মদ বশির আহমেদ ভাইজানের কন্ঠের গানএত.মধুর.লাগে বলার মত না,0,অসাধারণ গান মোহাম্মদ বশির আহমেদ ভাইজানের কন্ঠের গানএত.মধুর.লাগে বলার মত না,2025-11-11T13:04:55Z
UgwXpDb7ohK8ps77jxh4AaABAg,"জানি রে এ জীবনে তকে পাবার নই 3:59 
আকাশের ঠিকানা খোঁজে পাবার কথা নই 4:06",1,জানি রে এ জীবনে তকে পাবার নই 3:59 আকাশের ঠিকানা খোঁজে পাবার কথা নই 4:06,2023-05-03T16:53:41Z
Ugyauk4qbfxzQPcPI_t4AaABAg,যত চেষ্টা ছিল সব করেছি তবু তারে ধরে রাখতে পারিনি  তার পর থেকে এই গানটা সুনি,1,যত চেষ্টা ছিল সব করেছি তবু তারে ধরে রাখতে পারিনি তার পর থেকে এই গানটা সুনি,2023-01-05T15:50:26Z
Ugz81HEzo1WZgkQDTKh4AaABAg,এক কথায় অসাধারণ।৭০এর দশকে বাংলাদেশে থাকতে ছোটবেলায় এই গানটি শুনতাম।খুব ভালো লাগতো।এখন ২০২৫সাল।৫৫বৎসর পরে যেন আরো ভালো লাগছ।,1,এক কথায় অসাধারণ।৭০এর দশকে বাংলাদেশে থাকতে ছোটবেলায় এই গানটি শুনতাম।খুব ভালো লাগতো।এখন ২০২৫সাল।৫৫বৎসর পরে যেন আরো ভালো লাগছ।,2025-02-22T09:05:15Z
Ugz5rxEnh-U3_xpaKrh4AaABAg,২০২৫ সালে এসেও যারা যারা গানটি শুনেছেন তাদের জন্য কমেন্টস টা রেখে গেলাম,1,২০২৫ সালে এসেও যারা যারা গানটি শুনেছেন তাদের জন্য কমেন্টস টা রেখে গেলাম,2025-10-02T12:24:37Z
Ugwg9JO5ZFggsOR4ae14AaABAg,"মনের মানুষকে মনের খাঁচায় পুষে রাখতে চেয়েছিলাম, কিন্তু পাখি টি মনের  খাঁচায় থাকতে চায়না। বন বাঁদরে, স্বাধীন ভাবে ঘুরে বেড়াতে না  দেওয়াটাই আজ আমার কাল হয়েছে।।",1,"মনের মানুষকে মনের খাঁচায় পুষে রাখতে চেয়েছিলাম, কিন্তু পাখি টি মনের খাঁচায় থাকতে চায়না। বন বাঁদরে, স্বাধীন ভাবে ঘুরে বেড়াতে না দেওয়াটাই আজ আমার কাল হয়েছে।।",2024-07-17T14:52:51Z
Ugwz7nlqTbWmjXjzByV4AaABAg,2025 সালে এসেও যাঁরা এই গান গুলো শুনে তাঁদের রুচির প্রতি রইলো এক আকাশ পরিমাণ ভালোবাসা,1,2025 সালে এসেও যাঁরা এই গান গুলো শুনে তাঁদের রুচির প্রতি রইলো এক আকাশ পরিমাণ ভালোবাসা,2025-09-11T12:52:56Z
Ugy62LMueB6DRXmzhUl4AaABAg,"পুরোনো দিনের সব কথা মনে পরে গেলো,মনে হচ্চে পিছনের দিন গুলোতে ফিরে জাই",1,"পুরোনো দিনের সব কথা মনে পরে গেলো,মনে হচ্চে পিছনের দিন গুলোতে ফিরে জাই",2023-01-31T17:41:42Z
UgxqR71dYanFPIuSWmh4AaABAg,এই যৌবনের পুরাতন সঙ্গীত নতুন ভাবে বেচে থাকবে মনের মাঝে ৪৩ বছর পরে জান লাম।আর কত দিন আছই।,1,এই যৌবনের পুরাতন সঙ্গীত নতুন ভাবে বেচে থাকবে মনের মাঝে ৪৩ বছর পরে জান লাম।আর কত দিন আছই।,2025-11-19T16:21:36Z
Ugy-82dbbkxynedYZFt4AaABAg,"যারে যাবি যদি যা
পিঞ্জর খুলে দিয়েছি
যা কিছু কথা ছিলো ভুলে গিয়েছি
যারে বাধন কেটে যা
যারে রিদয় ভেঙ্গে যা
শুনেছি খাচার পাখি আপন হবার নয়
যানিরে যানি তকে ভালবাসা ভালো নয় 
যারে আকাশে উরে যা
যারে পথ ভুলে যা
যানিরে এজিবনে তকে পাবার নয়
আকাশের ঠিকানা খুজে পাবার কথা নয়।",1,যারে যাবি যদি যা পিঞ্জর খুলে দিয়েছি যা কিছু কথা ছিলো ভুলে গিয়েছি যারে বাধন কেটে যা যারে রিদয় ভেঙ্গে যা শুনেছি খাচার পাখি আপন হবার নয় যানিরে যানি তকে ভালবাসা ভালো নয় যারে আকাশে উরে যা যারে পথ ভুলে যা যানিরে এজিবনে তকে পাবার নয় আকাশের ঠিকানা খুজে পাবার কথা নয়।,2023-01-09T20:19:53Z
