text,nostalgic
কিছু গান আগে শুনি নি।কিছু গান শুনেছি।এই গানগুলোতে কিসের যেন এক টান রয়েছে।খুব আত্মীয় সেই টান।মনকে শুদ্ধ করে সেই টান।মানুষকে ভালোবাসতে সহায়তা করে সেই টান।,1
চ্যানেলের নাম কি বকবক,0
এই গান অবিস্বরণীয় । এই গানের সুর অতুলনীয়।,1
আপনাদের জন্য আমরা সাধারণ মানুষ রা হারানো দিনের গান গুলো শুনতে পাই। আমি নিজে ধন্য হলাম। সাধুবাদ জানাই আপনাদের এই প্রচেষ্টা কে ।,1
ছোটবেলা এইসব স্বর্ণ দিনের গান শুনেছি স্কুল থেকে এসে রেডিও নিয়ে বসে পড়তাম কত কত বকাও খেয়েছি বাবার কাছে আসলে রেডিও তো একটা আমাদের পড়তে বসিয়ে দিয়ে বাবা এই রেডিও নিয়ে গান শুনতে বসত পড়া তো নগদসগত কান থাকত ঐ রেডিওর দিকে। কত গান শুনেছি মন প্রাণ ভরে যেত গীতিকার দের নামও শুনতাম সেই থেকে লেখালেখিতে আগ্রহ গড়ে ওঠে এখন এই লেখা নিয়ে জীবন চলছে প্রত্যন্ত গ্রামে তখন রেডিও ছাড়া আমাদের মনোরঞ্জনের কোনো উপায় ছিল না। তারপর এত বছর পরে আবার ইউটিউবে সেই গান শুনে ছোট বেলার স্মৃতি তে ডুবে গেলাম ধন্যবাদ রেডিও ধন্যবাদ ইউটিউব।,1
আজ একবিংশ শতাব্দীর ছেলে হয়েও গত শতাব্দীর গান যতই শুনছি বিমুগ্ধ হয়ে যাচ্ছি,1
বাঙ্গালী তোমাকে ভগবান অনেক কিছু দিয়েছেন কিন্তু তুমি তার মূল্য বুঝতে পারলে না তাই এত কিছুর পর ও তুমি নোংরা রাজনীতি নিয়ে মেতে আছো। কর্মে মণ নেই শুধু রাতারাতি না পরিশ্রম করে অসৎ পথে বড়লোক হতে চাও। কত মহাপুরুষ আর্বিভাট হয়েছেন। তাই বলছিলাম হে আমার বাঙ্গালী ভাইরা কর্ম করো আর ভালো ভালো গান শোনা।,0
এত সুর আর এত গান এই গানটি তো আছে। আপনি বোধহয় খেয়াল করেন নি ।,0
অত্যান্ত মূল্যবান গান একসাথে ৫০ টি গান শুনার ধৈর্য অনেকেরই নেই কয়েকটি ভাগে বিভক্ত করলে ভালো হয়।,0
দারুন এই সব গান শুনলে বাবার কথা মনে পরে,1
আমি সব গান গুলো জানি। কাজল ও নদীর জলে। আমার মাএর কাছে শেখা। খুব ভালো এখনকার ছেলে মেয়েরা সবাই শিখবে।,1
অপূর্ব সুন্দর ছোট্ট বেলার সমৃতি।,1
অনেক ধন্যবাদ খুবই সুন্দর গান,0
স্বর্ণ যুগের সুমধুর গানগুলো সঙ্গীত পিপাসু শ্রোতাদের উদ্দেশ্যে নিবেদন করার জন্য চ‍্যনেল কর্তৃপক্ষকে অসংখ্য ধন্যবাদ জানাচ্ছি।,1
পুরোনো স্মৃতি ফিরে এলো।অনেক অনেক ধন্যবাদ।,1
আচ্ছা ওনারা থাকতেন মান্না দের পাড়ার। শিব বাড়িতে।,0
আমাদের জ্যঠিমা এই সব গান গাইতেন তাকে প্রণাম তিনি ছিলেন সনামধন্য নায়ক ছবি বিশ্বাসের ছোট কাকার কন্যা। শুনলে অবাক হবেন তাঁর জন্ম কান্দাহার বতমান আফগানিস্তান,1
গান গুলো আমার অন্তরে ঘা দিন যেন ছোট বেলার ফিরে গেলাম।,1
কেন এত মারামারি। মনে হয় হারিয়ে যাই এক অজানা দ্বীপে।,0
ভাগ্যবান আমরা এতো ভরা ভান্ডার আমাদের আছে । যত্ন চাই । সবাই শুনুন ।,0
তোমাদের মাথায় অশেষ আশিষ ঝরে পড়ুক। আমার শৈশব থেকে যৌবনে আর একবার ঘুরে এলাম।,1
পুরাতন এই গানগুলো সোনাবীজ তৈরি। তাই কোনো দিন পুরাতন মনে হয় না। গানগুলো শুনে আমার ছেলে বেলার সেই সোণালী দিনের স্মৃতি বিজড়িত দিন গুলো র কথা শুনতে পাই । কলের গানের জগতে র কথা মনে পড়ে। অজস্র ধন্যবাদ।,1
আজ ভোরে এইসব গানগুলি শুনতে শুনতে আমার সদ্য প্রয়াত বাবাকে আমার কাছে অনুভব করছিলাম ।এইসব গানগুলি তার আজীবনের সঙ্গী ।,1
অসাধারণ বললেও কম বলা হয় হৈমন্তী শুক্লাকে পেলে ভালো লাগতো অবশ্য কাকেই বা বাদ দিতেন,0
বাহাত্তর বছরে পুরনো দিনে হারিয়ে গেলাম,1
এই গানের সংগ্রহ টি শুনে নিজেকে খুব ই ভাগ্যবান মনে হচ্ছে ।।,0
একটি অসাধারণ সংগ্রহ। ধন্যবাদ দেয়াও যথেষ্ট হবে্ না। অপূর্ব অপূর্ব অপূর্ব,0
মুছে যাওয়াদিন গুলো মনে করিয়ে দেওয়ার জন্য অনেক ধন্যবাদ।,1
গানগুলো আকাশবাণীতেই কেবল শোনা যায়।আপনাদের প্রচেষ্টাকে অযুত কুর্ণিশ।,1
আহা আবার ফিরে গেলাম অতীতে। কালজয়ী গানগুলো আবারো ফিরে আসবেবার বার ফিরে আসবে,1
দারুণ গানগুলি।একটি পবিত্র পরিবেশ সৃষ্টির সহায়ক এই গানগুলি ।ধন্যবাদ জানাচ্ছি দেব ভাই ও লাবণ্য দিদিভাইকে।,0
আমি এই গানগুলো শোনার পর আমি তো ব কথা মনে পড়ে গেলো,1
কোথায় যেন হারিয়ে গেল,1
অপূর্ব সুন্দর গানের ডালি অসংখ্য ধন্যবাদ,0
মন প্রাণ ভরে গেল ফিরে গেলাম ছোটবেলায়। কতো শ্রুতি মধুর সুর ও গান। দিনটা ভাল হয়ে গেলো।,1
পুরোনো দিনের গান গুলো শুনে মনটা ভরে গেল ।,1
জীবনে যারে তুমি দাওনি মালা মরনে কেন তারে দিতে এলে ফুল এটাতো নজরুল সঙ্গীত তাই না,0
দাদু আপনার জন্ম কত সালে,0
আপনাদের কি বলে যে ধন্যবাদ জানাবো জানিনা। এই গান গুলি শোনা আমাদের ভাগ্যে হয় নি যদিও পরে অন্য শিল্পীদের রিরেকর্ডিং গান শুনেছি। আপনাদের কৃপায় গান গুলো এখন শুনতে পাচ্ছি।,0
আবার কি আসবে সেই সোনার যুগ এখনকার গানের কথা সুর শুনলে বিরক্তি লাগে,1
মন প্রান ভরিয়ে দিল। অসংখ্য ধন্যবাদ।,1
বলার ভাষা নেই ভালবাসা,0
অসাধারন একটা অডিও প্রোগ্রামস্বরণ থেকে হারিয়ে যাওয়া অনেক গান নিয়ে হাজির মনে করিয়ে দিল সেই ছোটবেলার কথা।সুন্দর উপস্তাপনা। ধন্যবাদ কতৃপক্ষকে।,1
স্বশ্রদ্ধ প্রনাম জানানো ছাড়া আর কিছু ভাবতে পারছিনা।এই অপূর্ব গানগুলি আবার শুনতে পাব ভাবতে পারিনি,1
এটা কি বাংলাদেশ চেনাল,0
অামানারা মো রফির বাংলা গান পান না,0
কৈশোরের স্মৃতি মনে করিয়ে দিচ্ছে,1
ধুর এত বকবক বিরক্ত লাগে। মেজাজটাই খারাপ করে দেয়।,0
অপূর্ব গানের ডালি ۔۔۔মন ভালো করা গান,0
গানের স্বর্ণ যুগ খাঁটি কথা।,1
বেশ কয়েকটি গানের রেকর্ডিং ভালো ছিল না। অন্য ইউটিউবে একই গান আরো ভালো ভাবে শুনেছি। এই ব্যাপারটা একটু নজরে রাখবেন এই অনুরোধ রইলো।,0
আহাঃপরিনত বয়সে গান গুলি শুনলে মন উদাস হয়ে যায়।,0
ফিরোজা বেগমের একটি গান থাকা উচিত ছিল । ফিরোজা বেগম ছাড়া অসম্পূর্ণ রয়ে গেল ।,0
এই সময় কি ফিরোজা বেগমের কোন গানের রেকর্ড হয় নাই ও জনপ্রিয় হয় নাই ভাষার ব্যবহারে বুঝা যায় কেমন শিক্ষা ও পরিবারের সন্তান।,0
পুরনো দিনের গান গুলো আমার হৃদয়ে সম্পদ। চিরকাল মনে লেগে থাকবে,1
সত্যিই স্বর্নযুগ ই বটে।,0
দেখতে দেখতে আমারও বয়স ৫২বছর হয়ে গেল। যখন একদম ছোট্ট ছিলাম বড়দের মুখে ও ঠাম্মার বড় রেডিওতে গানগুল শুনতে শুনতে কবে যেন গানগুলকে মনের মধ্যে গেঁথে ফেলেছি। এখন অর্ধশতক অতিক্রম করে মনে মনে ভাবি আমরা কতইনা ভাগ্যকরে এই সোনার বাংলায় স্বর্ণযুগে জন্মগ্রহণ করেছি। জানিনা কতদিন বাঁচব তবে পুনঃজন্ম হলে যেন এই সোনার বাংলায় আবারও জন্মগ্রহণ করি ঈশ্বরের কাছে আমার প্রার্থনা।,1
পুরানো দিনের গানগুলো সত্যিই আমাদের পুরানো স্মৃতি মনে করিয়ে দেয় । সুন্দর সুন্দর স্মৃতি মনে করিয়ে দিতে তুলনাহীন উদ্যোগ । প্রচেষ্টা টি তুলনাহীন ।,1
৬৫ বছর বয়সী দমদম অমর পল্লী নিবাসী আমি প্রত্যহ এই গানগুলি শুনি আর নস্টালজিক হয়ে পড়ি ।,1
আপনাদের ধন্যবাদ জানানোর ভাষা আমার জানা নেই। মাফ করবেন। এই সব গান আমার মা গাইতেন। তিনি আজ বেঁচে নেই। কিন্তু এই গানের মাধ্যমে মাকে মনে পড়ে। ধন্যবাদ।,1
আমার মাও এই গানগুলি গাইতেন।বেশি রাতে এইগান শোনার মধ্য দিয়ে আমি মাকে খুঁজে পাই।শিউলিদাস।,1
বাংলার কি সম্পদই না ছিল । আর আজ,0
একদম ঠিক বলেছেন সঙ্গীত আমাদের মনে গভীর ছাপ ফেলে,0
অসাধারণ সত্যিই অসাধারণ । অবরুদ্ধ হয়ে শুনি আর ভাবি আগামীকাল কি আর কেউই থাকবেন না এমন গান গাওয়ার ।,0
পুরাতন দিনের গান মনকে মাতিয়ে দেয়।সমৃতিগুলো ফিরে ফিরে আসে।শুনতে খুব ভাল লাগে।ধন‍্যবাদ।,1
পুরুষালি কণ্ঠটা খুবই পরিচিত বাংলাদেশের তাহসানের মতো।,0
ঘোষিকার কথাগুলো অত্যন্ত বিরক্তিকর হয়ে গেছে মাঝে মাঝে ইংরেজী কথা ব্যবহার করার জন্য।,0
গানগুলো আবার শৈশবে পৌঁছে দিল,1
যেদিন গেছে হারিয়ে কে দেবে তাকে ফিরিয়ে,1
গানগুলো আমায় এবং আমার মত অনেককে নিয়ে গেল সেই বাল্য ও কৈশোরের স্বপ্ন কল্পনার জগতেযা ভোলা যায় না।অসংখ্য ধন্যবাদ সারেগামা কে ।,1
এ গানের কোনো তুলনা হয় না,0
এইসব গানের সুর ও কথা হৃদয়ের নিভৃত তন্ত্রিতে টান দেয়।,0
এই গানগুলোর দাম দেওয়া যায়না,0
মানুষ হাজার বছর আগে পৃথিবী থেকে বিদায় নেওয়ার পর ওআজ এবং ভবিষ্যতে মানুষের অন্তরে চিরদিন বেঁচে থাকবেনতথা প্রী থীবির মৃত্যুর আগে প্র জ্য ন্ত গানের সুরএর ম্দ্ধে গায়ক মহা সাধক হয়ে আমদের অন্তরে বিরাজমানঅশোক কুমার শিকদারবলাগড়হূগ্লীঅবপ্রাপ তোকলকাতা বন্দরে জাহাজ উদ্ধার করমি,0
মন কে দূর বহুদূরে নিয়ে যায় যেন কোন সপ্ননেমে আসে।,0
গানগুলো শুনতে শুনতে এই অশীতিপর বয়সে ষাটসত্তর বছর আগে পৌঁছে চোখে জল এসে যাচ্ছে।,1
গানের মাধ্যমে বেঁচে থাকবেন শিল্পী পৃথিবীর মৃত্যু পূর্ব পর্যন্ত । প্রণাম।,0
চিরদিন মনে রাখার মতন এক অসাধারণ অনুষ্ঠান। দেব আর লাবণ্যকে অসংখ্য ধন্যবাদ এমন সুন্দর একটা অনুষ্ঠান উপস্থাপনার জন‍্য। দাবি রইল ভবিষ্যতে আরো এই রকম ভাল উপহারের জন‍্য।,0
আমার জেনারেশনের মিউজিক আমার মন টানেনা। বড় আফসোস হয় মাঝেমধ্যে আমাদের মিউজিক টেস্ট জন্য । কিন্তু এই গানগুলো কেমন মন ছুঁয়ে যায়।,0
তানজিনিয়া তাবাসামম তুমি ঠিকই বলেছ। এই সব কালজয়ী গান আর জন্মাবেনা আর গায়কগাইকা ও নেই তাঁদের মধুর কন্ঠে গাওয়ার জন্য।,0
এই আকাট মূর্খ টি কে,0
না ফিরে আসবে না।তবে গান গুলি বেঁচে থাকবে এই বিশ্বাস করি,0
মন আর কান দুই ভরে গেলো ।এই সব গানের কোনও তুলনা হবেনা।,1
অদ্ভুত সুন্দর পুরাতন গানগুলো যত শুনি ততই ভালো লাগে।,1
অতীত কোন দিন ফিরে আসব্রেনা কিন্তু এইগান গুলো বারবার শোনা যাবে তখন বুকের ভিতরটা দুরু দুরু করতে থাকে,1
খুব ভালো লাগলো অনেক তথ্য জানানো হয়েছে চমৎকার সংগ্রহ ধন্যবাদ সবাইকে।,0
অদ্ভুত সুন্দর ফেলে আসা সেই স্বর্ণালি অতীত যেন মনের অলিতে গলিতে দুমড়ে মুচড়ে শিহরণ জাগিয়ে দিল । খুবই ভাল লাগল ।,1
আমার ছোটবেলায় এসব গান শুনেছি। এসব গান জীবনের শেষ দিন পর্যন্ত শুনব।,1
অসাধারণ গানটা নিরবে অনেক শুনেছিলাম।,0
এই নাঁকি সুরের গান কালজয়ী,0
প্রশংসার ভাষা নেই অপূর্ব সংকলন ।,1
আপনাদের কথা শুনবো না গান,0
কে আপনাকে মাথার দিব্যি দিয়েছে,0
অবাক কান্ড চার দশকের স্বর্ণ যুগের গানে মান্না দে নেই ভাবতেই পারছি না।,0
দাদা মান্না দে এমন একজন যিনি জীবনের সব মুহূর্তের জন‍্য গেয়েছেন।,0
ধন্যবাদ । বহুবার শোনা গান কিন্তু তবুও আবার শোনার ইচ্ছে যায় না। এর সঙ্গে এই অতুলনীয় সৃষ্টি কে পর পর সাজিয়ে পরিবেশন করাটাই একটি বিরাট কৃতিত্বের দাবি রাখে ।,0
ছোট বেলার স্মৃতি ফিরে এলো,1
অপূর্ব সুন্দর এক কথায় অসাধারণ সব ভাষায় প্রকাশ করা অসম্ভব।,0
যেমন শিল্পী তেমনি গীতিকার সুরকার অতুলনীয় সব গান।,0
এইচ এম বি এর স্টুডিও কি এখনো আছে আমি কি আমার পছন্দের কিছু লোকগীতি পাইতে পারিআব্বাস উদ্দীন সাহেবের কিছু গান ইউটিউবে পাচ্ছিনা দয়া করে আমার গান গুলি আপলোড করলে খুশি হবো।উত্তরের আশায় রহিলাম।ধন্যবাদ।,1
অপূর্ব গান সিলেকশন ভাষাহীন ।,0
খুব সুন্দর পুরানো গানের সমাহার।।।,1
ভাল লাগার গান।বার বার শোনার গান।,1
চায়ের কাপে চুমুক দিতে দিতে বাবা আর আমাকে এ গান গুলো নিয়ে গেলো এক অপূর্ব সোনালী অতীতে। অসাধারন আমাদের ঐতিহ্য।,1
পূরনো সৃতী মনে করিয়ে দেওয়ার জন্য আপনাদেরকে অশেস অশেস ধন্যবাদ,1
একটা বাক্যে চারটে বানান ভুল,0
এখনকার গীতিকার‌ সুরকার এবং গায়ক গানগুলি সুনুক এবং শিক্ষা নিক,0
অতীত দিনের হারিয়ে যাওয়া ক্ষুদ্র ক্ষুদ্র সুখ স্মৃতি সমূহের এক অদ্ভূত সমাহার।,1
ছোট বেলার রেডিও তে অনু রোধের আসরের কথা মনে পড়ে যায় গান গুলি শুনে।,1
কে আপনাকে মাথার দিব্যি দিয়েছে,0
নতুন করে বাঁচতে শক্তি পাই,1
আমার জন্মের আগের গানগুলো শুনে কোথায় যেন হারিয়ে গেলাম।যে দুজন উপস্থাপনা করছিলেন তাদের বক্তব্য অবাক হয়ে শুনছিলাম। অনেক ধন্যবাদ। সাফল্য কামনা করি।,1
চমৎকার কালেকশন আপনাদের অজস্র অভিনন্দন।,0
এ খুবই হতাশাজনক এবং অপ্রত্যাশিত যে ৫০তম পর্বে শিল্পী সতীনাথ মুখোপাধ্যায় ও উৎপলা সেন এনাদের ঠঁাই হলো না,0
সতীনাথ আছেন আপনি খেয়াল করেন নি।,0
আসব গান তো আগে,0
অসাধারন গান গুলি হৎদয় ছুঁয়ে যায় প্রতিটি গান এক একটি হিরের টুকরো ।,1
মনকে যেন আকাশে উড়িয়ে নিয়ে গেল,0
পুরোনো দিনের গান সত্যিই সোনা,1
এতো মধুর এবং মন কাঁদানো গান এখনও অন্তরের বিজন কোনে হাহাকার জাগিয়ে তোলে বয়সতো কম হলো না তবে আরও বহু সাড়া জাগানো গান এখানে স্থান পেল না এবার দ্বিতীয় স সংকলনের জন্যে অনুরোধ রাখলাম।,0
পড়ন্ত বয়সের গান বার বার শুনতে ভাল লাগে। উপস্থাপকদের ধন্যবাদ।,0
গানগুলো যেন সকল যুগের সংগীতের পথপ্রদর্শক হয়ে থাকে এই প্রার্থনা করি।,0
দাদা অনবদ্য সৃষ্টি ।,0
গান গান শুধু গান,0
হারায়ে খুঁজি ছোট বেলার হারিয়ে যাওয়া গান । মন ভরে গেল ।,0
এই সুর আর কখনো হবেনা অসাধারন,0
আজ মনের অনুরোধের গান শুনলাম ।মন অনেক কিছু খুঁজে কিন্তু খুঁজে যখন সে না পায় তখন সে উদগ্রীব হয়ে অপেক্ষা করতে থাকে কখন সেটা সে নিজের মনের মত করে পাবে ।আজকে আমার অনুভূতি হল আমি সেটা খুঁজে পেলাম,1
এর কোনো তুলনা হয় না দারুণ লাগলো নমস্কার,0
খুব সুন্দর এবং খুব ভালো লাগলো,0
এগুলো সবই আমার প্রিয় গান,0
তোমার জন্য এই সব নয় কারণ তুমি এখন ও শিশু,0
কত বয়স তোমার এই গান গুলো ফালতু বলা মানে নিজের অস্তিত্বকে অস্বীকার করা,0
অপূর্ব অনবদ‍্য ভীষণ সুন্দর। মন ভরে যায়।,0
এখনকার গান কয়েকদিন বাদে।,0
ব্যস্ত জীবনের ফাঁকে একটু বিশুদ্ধ বাতাস গ্রহণ করার মতোই ।,1
বাণীজয়রামের কণ্ঠে আমার রাধা হওয়া আর হলোনাএবং নাচেরে পেখম তুলে নাচ ময়ূর এই গান গুলির এলবাম দিলে খুব ভালো হতো। সত্যি সব কাল জয়ী গান। ধন্যবাদ।,1
এই তুই বাংলা তে লিখলি কেন রে । তর মুখে বাংলা উচ্চারণ হলে বাংলা ভাষার অসম্মান হবে ।। তুই থাক না তর হিন্দি নিয়া । সালা বাংলা বলতে লজ্জা করে না তর ।বেহায়া।তুই বাংলা গান শুনতে পারবি না ।,0
অতীত ফিরে আসেনা। তাই স্মৃতি এতো মধূর। বর্তমানে তাই ফিরে ফিরে দেখা। ভাল লাগে।,1
মন ভরে যায়। শুধু বেচু দত‍্যর অভাবটা থেকে গেল।,1
অসাধারণ উপস্থাপনা দে ব এবং লাবন্ন তোমাদের মুগ্ধ করা ভাষা এই রেডিও শো কে অনন্য করে তুলেছে।,0
গান শুনতে গেলে বোধ বুদ্ধি থাকতে হবে বুঝতে পারলেন,0
পৃথিবী আমারে চায় এ গানটির রচযিতা ভারতীয় গণনাট্য সংঘ,0
হা গল্প দাদুর আসর বুঢ্হুভুতুম লাল কোমল নীল কোমল আর দুপুর একটায় কাল জয়ী অধুনিক বাংলা গান কোথায় যে হারিয়ে গেলো তাকে কি আর ফেরানো যায় না আবার আসুক সেই হারিয়ে যাওয়া দিনগুলো আবার আসুক,1
আমি আপনার সাথে একমত,0
আজকের দিনে যারা জন্মেছে তাদের সকলের জন্য আন্তরিক শুভেচ্ছা ও আশীর্বাদ জানালাম ।,0
অতীত দিনের হারিয়ে যাওয়া ক্ষুদ্র ক্ষুদ্র সুখ স্মৃতি সমূহের এক অদ্ভূত সমাহার।,1
জানার মধ্যে কতো ভুল ছিলোযে অমর গানগুলোর প্রথম শিল্পির নামগুলো ভুল জানতাম।ধন্যবাদ এতো চমৎকার তথ্যবহুল অনুষ্ঠানের জন্য।,0
ছোট বেলায় রেডিও তে শুনতাম এই গানগুলি। খুব অসাধারণ গান।,1
এই গান গুলো সব কোথায় হারিয়ে গেল,1
গান গুলি কিশোর বয়সে ফিরিয়ে দিল।,1
শিশুর মনের মাঝে যত সুখ আছে যত সুখ নাই পৃথিবীর কাছে যোগী চোখ বুঝে সেই মনে সুখ খোঁজে মনে আনন্দ জগত হয় মিছে,0
গান গুলি খুব সুন্দর শুনলে শুনতেই ইচ্ছা করে,0
অসাধারন গান। তখন আধুনিক গানের আসরকে আবার মনে করিয়ে দিল।,0
স্মৃতি উস্কে দেয়া অনুষ্ঠান।,1
ফিরে আসুক এই সব গান,1
অনেক দারুন গান গুলো,0
রবীন মজুমদারের ‘ এই কি গো শেষ দান’ পন্চাশের দশকে আমাদের মাতিয়েছিল। এই গানটি থাকা উচিত ছিল। বাংলাদেশের স্বাধীনতার পরে তিনি রাজশাহীত এসেছিলেন। অলোকা হলে গান করতে এসেছিলেন। দর্শকরা চিৎকার করে এই গানটির অনুরোধ করেছিলেন।,1
কানন দেবীর একটা গান থাকা উচিত ছিল।,1
এসব গানের রেকর্ড আমার নানার বাডীতে ছিল। অসাধারণ গানগুলি শুনে আমি সে সময়ে ফিরে গেলাম।,1
আমার ছোটোবেলায় মা যখন রেভিত্ত তে গানগুলো শুনতেন মনে পড়ে গেল,1
নিজেকে বাঙালি তো বলেন । কটা বাংলা গান শোনেন দাদাআগে শিক্ষিত হন ।বাংলা গানের সম্ভার বাংলাদেশ থেকেও এখানে অনেক বেশি। এবং বেশ সমৃদ্ধ ।,0
মানেটা বুঝিয়ে বলেন দাদা,0
কেউ পছন্দ না করলে কি আসে যায়,0
দাদা।ও। দিদি ভাই। তোমাদের অনেক ধন্যবাদ। তোমাদের উপস্থাপনা।সুনেমনটা। ভরে গেল।আর। তুমি আজকতদুরে।গানটাসুনে। মনে হয়। সেই। পঁচিশ বছর আগের কথা খুব মনে পড়ে যায়। সত্যি।আজ। অনেক দূরে আমি।,1
এই সুন্দর অমুল্য এলবামটা উপহার দেওয়ার জন্যধন্যবাদ দেব ও লাবন্যকে এবং ধন্যবাদ জানাই সারেগামা বাঙ্গালীকেও ।,0
ছোটবেলা যখন বাবা কালিয়ার গৌরব গাথা বলতেন তখন কমল দাশগুপ্তের কথা শুনে কোথায় যেন হারিয়ে যেতাম আজ যেন সবকিছু ভেসে উঠছে।,1
এই পুরাতন গান গুলো আমার এখন দুঃখ মনের জীবন কে ভালো করে দেয় । আমি প্রায় সব সময় শুনি । যত দিন এই জীবন থাকবে ততদিন পর্যন্ত শুনে যাবো।,1
এতো সুন্দর গানের কথা কে লিখবে কে বা গাইবে অসাধারণ,0
আমাদের জিবনে এইসব মহান গায়ক গায়িকা সুরকার গীতিকার আর কোনোদিনও পাব কিনা জানিনা।,0
কিশোর কুমার হলেন গানের দেবতাভারতের রত্ন। তাকে কেউ ছোটো করার চেষ্টা করলে আমরা রুখে দারাবো,0
আজ আর নেই দুই মহান শিল্পী,0
এই গান না শুনলে মনে হয় জীবন বৃথা হয়ে যেত,0
এই গানগুলি কখনও পুরানো হবে না। সোনার যুগের সোনালি কণ্ঠস্বর।,1
এই সকল কালজয়ী গান শুনেই তো আমাদের বড় হয়ে ওঠা।,1
কথা সুর এবং কণ্ঠের এক অপূর্ব গতিময়তা।,0
কথা সুরগায়কি সবকিছুই ছিল অসাধারণ।,1
আমরা গান নিয়ে যতই চর্চা করি না কেন বা কমেন্ট করি এই গান গুলো না শুনলে মনে হয় গান শোনা অপুরনতা থেকে যায়,0
সীমিত জ্ঞানে যতদূর জানি মুকুল দত্ত গৌরী প্রসন্ন মজুমদার পুলক বন্দ‍্যোপাধ্যায় এনারা সুরারোপের দায়িত্ব কস্মিনকালেও নিজেদের কাঁধে তুলে নেননি কোনো চলচ্চিত্রের জন্য প্রতিটা গানের বিবরণে ওনাদের নাম চোখে পড়লো সঙ্গীত পরিবেশনের ক্রেডিটে অবাক হলাম।,0
হয়েচে গো জানি গানে গানে কবিতায় কবিতায় গল্পে উপন্যাশে ওইতিহাসে যত প্রেমের কথা আছে কিছুতেই ভরবেনা এ মন আমার তারে যদি না পাই যত প্রেম ভালবাসা আছে জগতে সবটা এক পাল্লায় দিলেও তার একটু খানি নজরের সমান হবেনা গো কি দিয়া বুঝাবে আমায় আমি যা জানি সে ত নয় কোনু অভিনেতা নয় কোনু গায়ক নয় কোনু কবি নয় কোনু সহিত্যিক নয় কোনু গল্পকার নয় কোনু নেতা নয় কোনু কোটিপতি সে যে এক মহান পুরুষ যার তুলনা দিতে পারিনি কোনু কিছুর সাতে তর তর করে কাপে আমার বুক সে আমার মাতার মুকুট আর বলা যবেনা মাইর খাবোটিক আছে ভালা লাগল ধন্যবাদ আপনাকে।,0
ভাষায় প্রকাশ করা যাবেনা,0
এসব গান কোনদিন পুরানো হবে না যেমন কথা তেমন গলা। খুব সুন্দর।বার বার শুনতে ইচ্ছে করে।,1
খুব সুন্দর লাগছে গান গুলো শুনতে,0
সন্ধ্যা মুখোপাধ্যায়ের ছবি থাকলে ছবি টা সম্পূর্ণ হত ।,0
